,loss,method,ndcg@10,dcg@10,map,auc,gamma
0,logloss,loss,0.6240683943348788,1.4860616429984381,0.53860945067217,0.6810242256724306,1.0
1,logloss,auc,0.6240683943348788,1.4860616429984381,0.53860945067217,0.6810242256724306,1.0
2,logloss,ndcg@10,0.6240683943348788,1.4860616429984381,0.53860945067217,0.6810242256724306,1.0
3,logloss,dcg@10,0.6240683943348788,1.4860616429984381,0.53860945067217,0.6810242256724306,1.0
4,logloss,map,0.6240683943348788,1.4860616429984381,0.53860945067217,0.6810242256724306,1.0
5,ranknet,loss,0.7286025474724436,1.7643365860902027,0.6473651109838771,0.7879739880345479,1.0
6,ranknet,auc,0.7286025474724436,1.7643365860902027,0.6473651109838771,0.7879739880345479,1.0
7,ranknet,ndcg@10,0.7234621501656809,1.7464977165552256,0.6394395219209793,0.7844774501619322,1.0
8,ranknet,dcg@10,0.7286025474724436,1.7643365860902027,0.6473651109838771,0.7879739880345479,1.0
9,ranknet,map,0.7220177763440884,1.7456816091121332,0.6400340375775191,0.7841422961931679,1.0
10,sym_logloss,loss,0.38442285959722616,0.8639393567505735,0.3175685714202857,0.3527594086332201,1.0
11,sym_logloss,auc,0.5572635933313648,1.3230619653563949,0.46731184235554246,0.5539636354626086,1.0
12,sym_logloss,ndcg@10,0.5572635933313648,1.3230619653563949,0.46731184235554246,0.5539636354626086,1.0
13,sym_logloss,dcg@10,0.5572635933313648,1.3230619653563949,0.46731184235554246,0.5539636354626086,1.0
14,sym_logloss,map,0.5572635933313648,1.3230619653563949,0.46731184235554246,0.5539636354626086,1.0
15,sym_ranknet,loss,0.7292037907300337,1.7653609923838227,0.6469135143666566,0.7842143480580966,1.0
16,sym_ranknet,auc,0.729858621926879,1.7651602434963356,0.6477555603308311,0.7843531631904963,1.0
17,sym_ranknet,ndcg@10,0.729858621926879,1.7651602434963356,0.6477555603308311,0.7843531631904963,1.0
18,sym_ranknet,dcg@10,0.729858621926879,1.7651602434963356,0.6477555603308311,0.7843531631904963,1.0
19,sym_ranknet,map,0.729858621926879,1.7651602434963356,0.6477555603308311,0.7843531631904963,1.0
20,logloss,loss,0.6232139188238829,1.4690836405812122,0.5384161530318252,0.6805344914506287,0.9
21,logloss,auc,0.6232139188238829,1.4690836405812122,0.5384161530318252,0.6805344914506287,0.9
22,logloss,ndcg@10,0.6232139188238829,1.4690836405812122,0.5384161530318252,0.6805344914506287,0.9
23,logloss,dcg@10,0.6232139188238829,1.4690836405812122,0.5384161530318252,0.6805344914506287,0.9
24,logloss,map,0.6232139188238829,1.4690836405812122,0.5384161530318252,0.6805344914506287,0.9
25,ranknet,loss,0.7281094570285371,1.7535607072652806,0.6463902774825581,0.7822977987416811,0.9
26,ranknet,auc,0.7281094570285371,1.7535607072652806,0.6463902774825581,0.7822977987416811,0.9
27,ranknet,ndcg@10,0.7281094570285371,1.7535607072652806,0.6463902774825581,0.7822977987416811,0.9
28,ranknet,dcg@10,0.7281094570285371,1.7535607072652806,0.6463902774825581,0.7822977987416811,0.9
29,ranknet,map,0.7281094570285371,1.7535607072652806,0.6463902774825581,0.7822977987416811,0.9
30,sym_logloss,loss,0.38571857119686953,0.8670415371281158,0.31744657049517433,0.35343664183245604,0.9
31,sym_logloss,auc,0.568615990474166,1.3454339002866695,0.47667848989479245,0.565536914876053,0.9
32,sym_logloss,ndcg@10,0.568615990474166,1.3454339002866695,0.47667848989479245,0.565536914876053,0.9
33,sym_logloss,dcg@10,0.568615990474166,1.3454339002866695,0.47667848989479245,0.565536914876053,0.9
34,sym_logloss,map,0.568615990474166,1.3454339002866695,0.47667848989479245,0.565536914876053,0.9
35,sym_ranknet,loss,0.7294619737353917,1.7453597369326062,0.6479319867737947,0.7809169044982784,0.9
36,sym_ranknet,auc,0.7292364173889704,1.7438532754906186,0.6484785279008836,0.7823724691780126,0.9
37,sym_ranknet,ndcg@10,0.7299440297670151,1.7454195878024852,0.6485796366837976,0.7820075045053999,0.9
38,sym_ranknet,dcg@10,0.7299440297670151,1.7454195878024852,0.6485796366837976,0.7820075045053999,0.9
39,sym_ranknet,map,0.7293932593556144,1.7440512164068114,0.6486824370233597,0.7825584555902781,0.9
40,logloss,loss,0.6238135775492202,1.46865258814088,0.5308465788931975,0.6691121916747415,0.8
41,logloss,auc,0.6238135775492202,1.46865258814088,0.5308465788931975,0.6691121916747415,0.8
42,logloss,ndcg@10,0.6238135775492202,1.46865258814088,0.5308465788931975,0.6691121916747415,0.8
43,logloss,dcg@10,0.5778554662894584,1.3762727633916962,0.48462969565378744,0.6249229233624625,0.8
44,logloss,map,0.6238135775492202,1.46865258814088,0.5308465788931975,0.6691121916747415,0.8
45,ranknet,loss,0.7098238345506888,1.69546205622681,0.6236742873845212,0.7613061505717398,0.8
46,ranknet,auc,0.7098238345506888,1.69546205622681,0.6236742873845212,0.7613061505717398,0.8
47,ranknet,ndcg@10,0.7098238345506888,1.69546205622681,0.6236742873845212,0.7613061505717398,0.8
48,ranknet,dcg@10,0.7098238345506888,1.69546205622681,0.6236742873845212,0.7613061505717398,0.8
49,ranknet,map,0.7098238345506888,1.69546205622681,0.6236742873845212,0.7613061505717398,0.8
50,sym_logloss,loss,0.389118230209641,0.8753659319140028,0.32065216070984587,0.3643743754452471,0.8
51,sym_logloss,auc,0.5683325497767342,1.3508819153797385,0.47805025032757664,0.5657753960041599,0.8
52,sym_logloss,ndcg@10,0.5683325497767342,1.3508819153797385,0.47805025032757664,0.5657753960041599,0.8
53,sym_logloss,dcg@10,0.5683325497767342,1.3508819153797385,0.47805025032757664,0.5657753960041599,0.8
54,sym_logloss,map,0.5683325497767342,1.3508819153797385,0.47805025032757664,0.5657753960041599,0.8
55,sym_ranknet,loss,0.7282648342140183,1.7419988406574272,0.6481237796620374,0.7827315617023598,0.8
56,sym_ranknet,auc,0.7282648342140183,1.7419988406574272,0.6481237796620374,0.7827315617023598,0.8
57,sym_ranknet,ndcg@10,0.7247965663812082,1.7285680750975059,0.6450942414285563,0.7809912374450811,0.8
58,sym_ranknet,dcg@10,0.7244381075603596,1.7311520551878072,0.6423464400682372,0.7820159277894333,0.8
59,sym_ranknet,map,0.7247965663812082,1.7285680750975059,0.6450942414285563,0.7809912374450811,0.8
60,logloss,loss,0.5905796724729605,1.4001841323605688,0.5055197489830449,0.6439383014999719,0.7
61,logloss,auc,0.5905796724729605,1.4001841323605688,0.5055197489830449,0.6439383014999719,0.7
62,logloss,ndcg@10,0.5741493097847578,1.3583079385086778,0.49088310258293427,0.6252174620774313,0.7
63,logloss,dcg@10,0.5551104650405514,1.312656909647055,0.4662939842328201,0.5916190050103007,0.7
64,logloss,map,0.5830877177247117,1.3765371566435307,0.4993758770979799,0.636851046257393,0.7
65,ranknet,loss,0.6806157886198979,1.6395451155708656,0.5983806440583966,0.7515968516034164,0.7
66,ranknet,auc,0.6806157886198979,1.6395451155708656,0.5983806440583966,0.7515968516034164,0.7
67,ranknet,ndcg@10,0.6791731891945054,1.6371240532224474,0.5965269694662728,0.7487943310749188,0.7
68,ranknet,dcg@10,0.6791731891945054,1.6371240532224474,0.5965269694662728,0.7487943310749188,0.7
69,ranknet,map,0.6806157886198979,1.6395451155708656,0.5983806440583966,0.7515968516034164,0.7
70,sym_logloss,loss,0.3869735148760216,0.8712391491575019,0.31698050604687045,0.3517771018185425,0.7
71,sym_logloss,auc,0.568701020523102,1.354389643964354,0.4782437187761182,0.5678834249399713,0.7
72,sym_logloss,ndcg@10,0.568701020523102,1.354389643964354,0.4782437187761182,0.5678834249399713,0.7
73,sym_logloss,dcg@10,0.568701020523102,1.354389643964354,0.4782437187761182,0.5678834249399713,0.7
74,sym_logloss,map,0.568701020523102,1.354389643964354,0.4782437187761182,0.5678834249399713,0.7
75,sym_ranknet,loss,0.7250278696188035,1.7402648112170862,0.6461421315835999,0.7744801008762604,0.7
76,sym_ranknet,auc,0.7212295197238021,1.7319888186644383,0.6420288838760893,0.7709078809432999,0.7
77,sym_ranknet,ndcg@10,0.7212295197238021,1.7319888186644383,0.6420288838760893,0.7709078809432999,0.7
78,sym_ranknet,dcg@10,0.7251284881029442,1.7407840496607452,0.6463572084831753,0.7740729159369109,0.7
79,sym_ranknet,map,0.7212295197238021,1.7319888186644383,0.6420288838760893,0.7709078809432999,0.7
80,logloss,loss,0.5087660151398197,1.1812826996380459,0.4283956545940563,0.5236738086601661,0.6
81,logloss,auc,0.5087660151398197,1.1812826996380459,0.4283956545940563,0.5236738086601661,0.6
82,logloss,ndcg@10,0.5755586881246704,1.364559480667759,0.48958050520623503,0.6017264583681282,0.6
83,logloss,dcg@10,0.5755586881246704,1.364559480667759,0.48958050520623503,0.6017264583681282,0.6
84,logloss,map,0.5755586881246704,1.364559480667759,0.48958050520623503,0.6017264583681282,0.6
85,ranknet,loss,0.5877082863336951,1.4003760070352793,0.5028928789483411,0.6123204251373776,0.6
86,ranknet,auc,0.5641555139350207,1.3421716951893097,0.4765371135829629,0.5903111804954808,0.6
87,ranknet,ndcg@10,0.5968098921910047,1.418169104854077,0.50910155884869,0.6222757575778033,0.6
88,ranknet,dcg@10,0.5968098921910047,1.418169104854077,0.50910155884869,0.6222757575778033,0.6
89,ranknet,map,0.5775514953541201,1.3738281216142962,0.4880583340511459,0.6041451060050835,0.6
90,sym_logloss,loss,0.4118251012461089,0.9364890465401285,0.3379482815334945,0.399521429791224,0.6
91,sym_logloss,auc,0.48999457653919604,1.1483826229995715,0.40353007387178697,0.47370289738320237,0.6
92,sym_logloss,ndcg@10,0.48999457653919604,1.1483826229995715,0.40353007387178697,0.47370289738320237,0.6
93,sym_logloss,dcg@10,0.5185603443365747,1.2268865662789183,0.4282380104345403,0.49960280899052795,0.6
94,sym_logloss,map,0.48999457653919604,1.1483826229995715,0.40353007387178697,0.47370289738320237,0.6
95,sym_ranknet,loss,0.7209957475050099,1.7175718843580607,0.6384759137416205,0.7686857715544855,0.6
96,sym_ranknet,auc,0.7209957475050099,1.7175718843580607,0.6384759137416205,0.7686857715544855,0.6
97,sym_ranknet,ndcg@10,0.7209957475050099,1.7175718843580607,0.6384759137416205,0.7686857715544855,0.6
98,sym_ranknet,dcg@10,0.7208540547838317,1.714613230004878,0.6389069317721259,0.7696356500865834,0.6
99,sym_ranknet,map,0.7209957475050099,1.7175718843580607,0.6384759137416205,0.7686857715544855,0.6
